Brand,SN,FSP,VLAN,SID,Nama,Password,Replace,ServicePort,LineProfile
Huawei,HWTC11223344,0/1/2/3,2910,1001,Budi Santoso,PLN123,Tidak,,100
Huawei,HWTC55667788,0/1/5/1,2910,1002,Siti Aminah,PLN123,Ya,3301,100
Raisecom,ZTEG44556677,1/2/3,1500,1003,Andi Saputra,PLN123,Tidak,,1
Raisecom,ZTEG99887766,1/4/2,1500,1004,Dewi Lestari,PLN123,Ya,,1
ZTE_C320,ZTEG11223344,0/1/2:4,2911,1005,Toko Maju Jaya,PLN123,Tidak,,
ZTE_C320,ZTEG22334455,0/1/2:5,2911,1006,Warkop Berkah,PLN123,Ya,,,
ZTE_C320,ZTEG33445566,0/1/3:1,2911,1007,Klinik Sehat,PLN123,Tidak,,
ZTE_C610,ZTEG44556677,1/2/3:4,2912,1008,SMA Negeri 1,PLN123,Tidak,,
BDCOM,485711223344,0/1:2,100,1009,Azzam Umar,PLN123,Tidak,,
BDCOM,485755667788,0/2:1,100,1010,NOC Team,PLN123,Ya,,,
